着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,date,surface,distance,condition
13,5,6,アナレンマ,セ6,58.0,菱田裕二,2:01.6,ハナ,**,**,**,**,**,1-1-1-1,38.8,63.3,10.0,448(-4),,,,448(-4),,,202401010110,2024年07月20日,芝,2000,良
1,8,16,エイシンフェンサー,牝4,56.0,川又賢治,1:08.3,,**,**,**,**,**,6-4,33.9,4.5,1.0,476(-4),,,,476(-4),,"1,873.6",202401010111,2024年07月20日,芝,1200,良
2,8,15,マイネルレノン,牡5,58.0,丹内祐次,1:08.4,1/2,**,**,**,**,**,3-2,34.3,22.4,10.0,474(-12),,,,474(-12),,749.6,202401010111,2024年07月20日,芝,1200,良
3,1,1,ブッシュガーデン,牝5,56.0,富田暁,1:08.4,アタマ,**,**,**,**,**,1-1,34.5,10.9,7.0,466(+4),,,,466(+4),,464.8,202401010111,2024年07月20日,芝,1200,良
4,7,14,ラキエータ,牝5,56.0,武豊,1:08.5,1/2,**,**,**,**,**,8-7,33.9,16.3,8.0,426(-6),,,,426(-6),,280.0,202401010111,2024年07月20日,芝,1200,良
5,2,3,トーセンサンダー,牡5,58.0,大野拓弥,1:08.5,アタマ,**,**,**,**,**,6-7,34.0,8.2,4.0,480(0),,,,480(0),,184.0,202401010111,2024年07月20日,芝,1200,良
6,6,11,オードゥメール,牝5,56.0,藤岡佑介,1:08.5,クビ,**,**,**,**,**,8-9,33.8,9.2,5.0,480(-2),,,,480(-2),,,202401010111,2024年07月20日,芝,1200,良
7,5,10,アドヴァイス,牝5,56.0,岩田康誠,1:08.6,クビ,**,**,**,**,**,3-4,34.4,17.0,9.0,500(-2),,,,500(-2),,,202401010111,2024年07月20日,芝,1200,良
8,5,9,ドナベティ,牝3,53.0,鮫島克駿,1:08.6,ハナ,**,**,**,**,**,13-14,33.5,9.6,6.0,422(-2),,,,422(-2),,,202401010111,2024年07月20日,芝,1200,良
9,6,12,サトノグレイト,セ4,58.0,池添謙一,1:08.6,アタマ,**,**,**,**,**,5-4,34.3,49.3,12.0,492(+4),,,,492(+4),,,202401010111,2024年07月20日,芝,1200,良
10,4,8,オウバイトウリ,牝3,53.0,浜中俊,1:08.7,クビ,**,**,**,**,**,13-13,33.6,6.8,3.0,460(-10),,,,460(-10),,,202401010111,2024年07月20日,芝,1200,良
11,2,4,アバンチュリエ,セ5,58.0,柴田善臣,1:08.7,クビ,**,**,**,**,**,16-14,33.5,36.3,11.0,466(0),,,,466(0),,,202401010111,2024年07月20日,芝,1200,良
12,4,7,タツリュウオー,牝6,56.0,古川吉洋,1:08.8,クビ,**,**,**,**,**,10-11,33.9,123.1,16.0,470(0),,,,470(0),,,202401010111,2024年07月20日,芝,1200,良
13,7,13,グットディール,セ5,58.0,佐々木大,1:08.8,アタマ,**,**,**,**,**,10-10,34.0,63.3,13.0,494(-6),,,,494(-6),,,202401010111,2024年07月20日,芝,1200,良
14,1,2,プライムライン,セ7,58.0,北村友一,1:08.9,3/4,**,**,**,**,**,10-11,34.1,83.6,14.0,450(+4),,,,450(+4),,,202401010111,2024年07月20日,芝,1200,良
15,3,5,ドーバーホーク,牡4,58.0,横山武史,1:08.9,アタマ,**,**,**,**,**,13-14,33.8,5.0,2.0,482(+2),,,,482(+2),,,202401010111,2024年07月20日,芝,1200,良
16,3,6,ジャスティンエース,牡5,58.0,菱田裕二,1:09.5,3.1/2,**,**,**,**,**,2-2,35.5,94.9,15.0,468(-2),,,,468(-2),,,202401010111,2024年07月20日,芝,1200,良
1,6,8,トリグラフ,牡5,58.0,永野猛蔵,1:46.8,,**,**,**,**,**,10-10-9-4,39.2,35.4,9.0,454(-2),,,,454(-2),,800.0,202401010112,2024年07月20日,ダ,1700,良
2,5,5,カルパ,牡3,55.0,武豊,1:47.3,3.1/2,**,**,**,**,**,7-6-4-2,40.2,5.7,4.0,434(-2),,,,434(-2),,320.0,202401010112,2024年07月20日,ダ,1700,良
3,7,10,コスモオピニオン,牡4,58.0,丹内祐次,1:47.3,ハナ,**,**,**,**,**,3-3-2-1,40.3,3.5,1.0,496(-2),,,,496(-2),,200.0,202401010112,2024年07月20日,ダ,1700,良
4,3,3,ズバットマサムネ,牡3,55.0,浜中俊,1:47.4,クビ,**,**,**,**,**,6-6-7-6,39.9,7.8,5.0,492(+2),,,,492(+2),,120.0,202401010112,2024年07月20日,ダ,1700,良
5,2,2,ヤマニンクイッカー,牡5,58.0,横山武史,1:47.6,1.1/4,**,**,**,**,**,3-3-5-9,40.3,5.3,3.0,472(+2),,,,472(+2),,80.0,202401010112,2024年07月20日,ダ,1700,良
6,4,4,ダノンペドロ,セ4,58.0,佐々木大,1:47.8,1.1/2,**,**,**,**,**,5-3-5-6,40.6,15.5,7.0,484(+2),,,,484(+2),,,202401010112,2024年07月20日,ダ,1700,良
7,8,11,カリフォルニア,牡3,55.0,小林凌大,1:47.9,クビ,**,**,**,**,**,1-1-1-2,41.0,4.2,2.0,486(+6),,,,486(+6),,,202401010112,2024年07月20日,ダ,1700,良
8,6,7,ジェンマ,牡3,52.0,小林勝太,1:48.0,1/2,**,**,**,**,**,8-8-7-4,40.6,11.1,6.0,472(-4),,,,472(-4),,,202401010112,2024年07月20日,ダ,1700,良
9,1,1,アスクメークシェア,牡4,58.0,古川吉洋,1:49.0,6,**,**,**,**,**,9-8-10-10,41.0,180.2,11.0,474(+2),,,,474(+2),,,202401010112,2024年07月20日,ダ,1700,良
10,5,6,タイセイラファーガ,牡4,58.0,菱田裕二,1:50.1,7,**,**,**,**,**,11-11-11-11,40.1,135.7,10.0,528(+42),,,,528(+42),,,202401010112,2024年07月20日,ダ,1700,良
11,8,12,シェアホルダーズ,牡3,54.0,角田大河,1:50.2,クビ,**,**,**,**,**,2-2-2-8,43.2,20.9,8.0,496(+20),,,,496(+20),,,202401010112,2024年07月20日,ダ,1700,良
除,7,9,ポルポラジール,牡3,55.0,藤岡佑介,,,,,,,,,,---,,504(-6),,,,504(-6),,,202401010112,2024年07月20日,ダ,1700,良
1,7,7,ミッドナイトゲイル,牝2,52.0,小林勝太,0:59.6,,**,**,**,**,**,1-1,36.1,2.0,1.0,460(+4),,,,460(+4),,550.0,202401010201,2024年07月21日,ダ,1000,良
2,5,5,ルークススペイ,牡2,55.0,永野猛蔵,1:00.5,5,**,**,**,**,**,4-4,36.6,2.4,2.0,480(+4),,,,480(+4),,220.0,202401010201,2024年07月21日,ダ,1000,良
3,3,3,モーニングスター,牝2,52.0,川端海翼,1:00.6,クビ,**,**,**,**,**,7-7,36.3,31.2,7.0,424(+2),,,,424(+2),,140.0,202401010201,2024年07月21日,ダ,1000,良
4,2,2,トゥインクルアップ,牝2,55.0,鮫島克駿,1:01.2,4,**,**,**,**,**,5-5,37.2,19.6,5.0,468(-2),,,,468(-2),,83.0,202401010201,2024年07月21日,ダ,1000,良
5,4,4,オイランブチ,牝2,52.0,長浜鴻緒,1:01.2,アタマ,**,**,**,**,**,3-3,37.5,12.1,4.0,430(-4),,,,430(-4),,55.0,202401010201,2024年07月21日,ダ,1000,良
6,1,1,メイショウホダワラ,牝2,55.0,富田暁,1:01.3,1/2,**,**,**,**,**,6-5,37.2,21.2,6.0,472(+2),,,,472(+2),,,202401010201,2024年07月21日,ダ,1000,良
7,6,6,ラヴィングユー,牝2,55.0,菱田裕二,1:01.4,クビ,**,**,**,**,**,2-2,37.9,7.0,3.0,490(+6),,,,490(+6),,,202401010201,2024年07月21日,ダ,1000,良
1,6,10,オーロヴェール,牝3,55.0,浜中俊,1:47.3,,**,**,**,**,**,5-5-4-1,38.5,6.0,3.0,480(-2),,,,480(-2),,550.0,202401010202,2024年07月21日,ダ,1700,良
2,8,13,サンネリネ,牝3,55.0,古川吉洋,1:48.2,5,**,**,**,**,**,3-3-3-2,39.6,6.0,2.0,460(0),,,,460(0),,220.0,202401010202,2024年07月21日,ダ,1700,良
3,5,8,イッツナッシング,牝3,55.0,丹内祐次,1:48.5,1.1/2,**,**,**,**,**,9-7-4-4,39.7,3.2,1.0,432(+12),,,,432(+12),,140.0,202401010202,2024年07月21日,ダ,1700,良
4,8,14,ヤマニンファリダ,牝3,52.0,長浜鴻緒,1:48.6,3/4,**,**,**,**,**,4-4-6-5,39.6,126.7,12.0,448(+2),,,,448(+2),,83.0,202401010202,2024年07月21日,ダ,1700,良
5,4,5,メイショウコオロギ,牝3,55.0,武豊,1:49.1,3,**,**,**,**,**,13-13-10-9,39.3,9.1,6.0,428(-4),,,,428(-4),,55.0,202401010202,2024年07月21日,ダ,1700,良
6,1,1,フェイマスグラース,牝3,55.0,菱田裕二,1:49.2,アタマ,**,**,**,**,**,14-14-14-11,39.1,18.2,8.0,476(+2),,,,476(+2),,,202401010202,2024年07月21日,ダ,1700,良
7,7,11,ブレイクショット,牝3,55.0,横山武史,1:49.3,3/4,**,**,**,**,**,12-12-8-7,39.8,14.7,7.0,460(-4),,,,460(-4),,,202401010202,2024年07月21日,ダ,1700,良
8,5,7,オンザジュピター,牝3,55.0,富田暁,1:49.4,3/4,**,**,**,**,**,10-10-6-5,40.4,21.6,9.0,458(-6),,,,458(-6),,,202401010202,2024年07月21日,ダ,1700,良
9,3,4,エールクイーン,牝3,55.0,川又賢治,1:50.2,5,**,**,**,**,**,10-10-10-9,40.4,138.9,13.0,474(0),,,,474(0),,,202401010202,2024年07月21日,ダ,1700,良
10,6,9,アンビシュー,牝3,54.0,角田大河,1:50.2,ハナ,**,**,**,**,**,2-2-2-2,41.8,47.9,11.0,466(+10),,,,466(+10),,,202401010202,2024年07月21日,ダ,1700,良
11,3,3,クラペ,牝3,55.0,大野拓弥,1:50.8,3.1/2,**,**,**,**,**,5-5-8-7,41.4,33.6,10.0,424(+2),,,,424(+2),,,202401010202,2024年07月21日,ダ,1700,良
12,2,2,ワールドジェニー,牝3,55.0,小林凌大,1:51.6,5,**,**,**,**,**,7-7-10-14,41.8,245.2,14.0,424(0),,,,424(0),,,202401010202,2024年07月21日,ダ,1700,良
13,4,6,ピアリ,牝3,55.0,北村友一,1:51.7,クビ,**,**,**,**,**,7-7-10-11,42.0,8.5,5.0,476(+4),,,,476(+4),,,202401010202,2024年07月21日,ダ,1700,良
14,7,12,ブランシール,牝3,52.0,小林勝太,1:56.3,大,**,**,**,**,**,1-1-1-13,47.9,6.9,4.0,450(-2),,,,450(-2),,,202401010202,2024年07月21日,ダ,1700,良
1,1,2,ファイツオン,牡3,57.0,藤岡佑介,1:08.2,,**,**,**,**,**,1-1,34.7,2.7,1.0,508(-6),,,,508(-6),,550.0,202401010203,2024年07月21日,芝,1200,良
2,5,10,グランテレーズ,牝3,55.0,鮫島克駿,1:08.5,2,**,**,**,**,**,4-4,34.3,6.8,3.0,442(+4),,,,442(+4),,220.0,202401010203,2024年07月21日,芝,1200,良
3,4,7,ロジカルワーズ,牡3,57.0,大野拓弥,1:08.6,クビ,**,**,**,**,**,10-8,34.0,4.4,2.0,504(-4),,,,504(-4),,140.0,202401010203,2024年07月21日,芝,1200,良
4,1,1,リュサントノレ,牝3,55.0,武豊,1:08.7,1,**,**,**,**,**,8-8,34.2,7.6,4.0,444(+4),,,,444(+4),,83.0,202401010203,2024年07月21日,芝,1200,良
5,7,13,レガシーオブエリザ,牝3,55.0,佐々木大,1:08.8,クビ,**,**,**,**,**,2-2,35.1,23.0,8.0,434(+2),,,,434(+2),,55.0,202401010203,2024年07月21日,芝,1200,良
6,3,6,キルケロッソ,牝3,52.0,川端海翼,1:09.0,1.1/2,**,**,**,**,**,10-10,34.4,17.3,6.0,448(+4),,,,448(+4),,,202401010203,2024年07月21日,芝,1200,良
7,3,5,イロンデル,牡3,57.0,古川吉洋,1:09.0,アタマ,**,**,**,**,**,15-12,33.8,34.3,11.0,470(+2),,,,470(+2),,,202401010203,2024年07月21日,芝,1200,良
8,6,12,コスモバシレウス,牡3,57.0,丹内祐次,1:09.1,アタマ,**,**,**,**,**,3-3,35.1,26.3,10.0,448(-4),,,,448(-4),,,202401010203,2024年07月21日,芝,1200,良
9,2,4,リーサムギニー,牡3,57.0,横山和生,1:09.2,3/4,**,**,**,**,**,16-15,33.7,21.9,7.0,492(+6),,,,492(+6),,,202401010203,2024年07月21日,芝,1200,良
10,8,15,カズヴィトシャ,牡3,57.0,永野猛蔵,1:09.4,3/4,**,**,**,**,**,6-6,35.1,56.5,13.0,528(+6),,,,528(+6),,,202401010203,2024年07月21日,芝,1200,良
11,7,14,ヴェルダージ,牝3,55.0,北村友一,1:09.5,3/4,**,**,**,**,**,12-12,34.7,25.2,9.0,504(+4),,,,504(+4),,,202401010203,2024年07月21日,芝,1200,良
11,8,16,ミニマルデザイン,牝3,55.0,横山武史,1:09.5,同着,**,**,**,**,**,4-4,35.4,15.8,5.0,466(+8),,,,466(+8),,,202401010203,2024年07月21日,芝,1200,良
13,4,8,テリオスソラ,牝3,54.0,角田大河,1:09.5,ハナ,**,**,**,**,**,6-6,35.2,54.0,12.0,472(+2),,,,472(+2),,,202401010203,2024年07月21日,芝,1200,良
14,5,9,ポリトナリティー,牝3,52.0,小林勝太,1:09.5,アタマ,**,**,**,**,**,12-12,34.6,95.1,15.0,412(-2),,,,412(-2),,,202401010203,2024年07月21日,芝,1200,良
15,2,3,アールヴヘイム,牝3,55.0,菱田裕二,1:09.5,クビ,**,**,**,**,**,12-15,34.7,172.3,16.0,448(0),,,,448(0),,,202401010203,2024年07月21日,芝,1200,良
16,6,11,ヴィーケン,牡3,57.0,富田暁,1:09.8,1.1/2,**,**,**,**,**,8-10,35.3,80.9,14.0,492(+4),,,,492(+4),,,202401010203,2024年07月21日,芝,1200,良
1,4,6,トモジャシャトー,牡3,54.0,長浜鴻緒,1:47.5,,**,**,**,**,**,4-4-4-3,39.3,3.3,1.0,470(0),,,,470(0),,550.0,202401010204,2024年07月21日,ダ,1700,良
2,4,5,ポンヌフ,牝3,55.0,佐々木大,1:47.8,1.1/2,**,**,**,**,**,6-6-6-5,39.3,7.0,5.0,454(-6),,,,454(-6),,220.0,202401010204,2024年07月21日,ダ,1700,良
3,7,12,ランドマックス,牡3,57.0,菱田裕二,1:47.8,ハナ,**,**,**,**,**,1-1-1-1,40.1,4.3,3.0,480(+4),,,,480(+4),,140.0,202401010204,2024年07月21日,ダ,1700,良
4,7,11,ドンクロノス,牡3,57.0,北村友一,1:48.1,1.3/4,**,**,**,**,**,12-10-10-9,39.0,53.0,8.0,444(0),,,,444(0),,83.0,202401010204,2024年07月21日,ダ,1700,良
5,8,14,オーヴァーマスター,牡3,57.0,丹内祐次,1:48.1,クビ,**,**,**,**,**,2-3-2-2,40.1,5.5,4.0,454(+8),,,,454(+8),,55.0,202401010204,2024年07月21日,ダ,1700,良
6,6,9,アドアプローズ,牡3,57.0,大野拓弥,1:48.1,アタマ,**,**,**,**,**,10-11-10-10,39.0,47.4,7.0,458(+4),,,,458(+4),,,202401010204,2024年07月21日,ダ,1700,良
7,3,3,アラタマフェーヴル,牡3,56.0,角田大河,1:48.8,4,**,**,**,**,**,9-9-8-7,40.1,14.3,6.0,492(+6),,,,492(+6),,,202401010204,2024年07月21日,ダ,1700,良
8,3,4,シュンプウ,牡3,57.0,横山武史,1:48.9,クビ,**,**,**,**,**,4-4-4-5,40.8,4.2,2.0,442(+2),,,,442(+2),,,202401010204,2024年07月21日,ダ,1700,良
9,5,8,ジューンサレンダー,牡3,57.0,鮫島克駿,1:50.4,9,**,**,**,**,**,2-2-2-4,42.5,80.8,10.0,450(0),,,,450(0),,,202401010204,2024年07月21日,ダ,1700,良
10,2,2,アイアムイブシギン,牡3,57.0,黛弘人,1:50.5,3/4,**,**,**,**,**,12-12-12-12,41.2,77.5,9.0,466(-8),,,,466(-8),,,202401010204,2024年07月21日,ダ,1700,良
11,5,7,フォルガイル,牡3,57.0,岩橋勇二,1:50.7,3/4,**,**,**,**,**,10-12-13-12,41.2,81.1,11.0,440(-4),,,,440(-4),,,202401010204,2024年07月21日,ダ,1700,良
12,8,13,ルミナスビューティ,牝3,55.0,永野猛蔵,1:50.9,1.1/4,**,**,**,**,**,6-8-6-7,42.4,128.0,13.0,444(-4),,,,444(-4),,,202401010204,2024年07月21日,ダ,1700,良
13,1,1,アツキヤマト,牡3,57.0,亀田温心,1:52.1,7,**,**,**,**,**,6-6-8-10,43.5,84.1,12.0,516(+16),,,,516(+16),,,202401010204,2024年07月21日,ダ,1700,良
除,6,10,ゲームアップロード,牡3,54.0,小林勝太,,,,,,,,,,---,,500(+2),,,,500(+2),,,202401010204,2024年07月21日,ダ,1700,良
1,5,5,キングスコール,牡2,55.0,藤岡佑介,1:47.8,,**,**,**,**,**,2-2-1-1,34.8,5.7,2.0,494(0),,,,494(0),,720.0,202401010205,2024年07月21日,芝,1800,良
2,8,8,テリオスララ,牝2,55.0,鮫島克駿,1:48.3,3,**,**,**,**,**,3-3-2-2,35.3,1.8,1.0,496(0),,,,496(0),,290.0,202401010205,2024年07月21日,芝,1800,良
3,2,2,ショウナンサムデイ,牝2,55.0,池添謙一,1:48.4,3/4,**,**,**,**,**,1-1-4-4,35.1,6.4,3.0,426(0),,,,426(0),,180.0,202401010205,2024年07月21日,芝,1800,良
4,4,4,ルージュミレネール,牝2,55.0,横山武史,1:48.5,クビ,**,**,**,**,**,8-8-2-2,35.4,7.7,5.0,428(0),,,,428(0),,110.0,202401010205,2024年07月21日,芝,1800,良
5,3,3,メテオレーナ,牝2,55.0,丹内祐次,1:48.7,1.1/2,**,**,**,**,**,6-6-7-6,35.0,20.9,6.0,420(0),,,,420(0),,72.0,202401010205,2024年07月21日,芝,1800,良
6,6,6,ゲレル,牝2,55.0,浜中俊,1:49.0,1.3/4,**,**,**,**,**,3-3-4-4,35.6,57.1,8.0,434(0),,,,434(0),,,202401010205,2024年07月21日,芝,1800,良
7,1,1,カーヌスティ,牡2,55.0,佐々木大,1:49.0,アタマ,**,**,**,**,**,3-3-6-6,35.5,26.1,7.0,472(0),,,,472(0),,,202401010205,2024年07月21日,芝,1800,良
8,7,7,アルデフォックス,牡2,55.0,武豊,1:51.3,大,**,**,**,**,**,6-6-7-8,37.5,6.7,4.0,520(0),,,,520(0),,,202401010205,2024年07月21日,芝,1800,良
1,4,8,ファインライン,牡3,57.0,鮫島克駿,2:00.3,,**,**,**,**,**,6-6-6-4,34.8,3.6,1.0,464(0),,,,464(0),,550.0,202401010206,2024年07月21日,芝,2000,良
2,1,1,レイピカケ,牝3,55.0,横山武史,2:00.3,ハナ,**,**,**,**,**,11-11-9-6,34.7,13.0,6.0,454(0),,,,454(0),,220.0,202401010206,2024年07月21日,芝,2000,良
3,6,11,リュラグリーン,牝3,52.0,長浜鴻緒,2:00.6,2,**,**,**,**,**,4-4-2-2,35.3,4.5,2.0,464(-2),,,,464(-2),,140.0,202401010206,2024年07月21日,芝,2000,良
4,3,5,ロードクロンヌ,牡3,57.0,藤岡佑介,2:00.7,1/2,**,**,**,**,**,2-3-2-2,35.4,7.4,5.0,476(+6),,,,476(+6),,83.0,202401010206,2024年07月21日,芝,2000,良
5,8,16,アークレアル,牝3,55.0,古川吉洋,2:00.8,クビ,**,**,**,**,**,2-2-2-1,35.6,66.4,10.0,490(-4),,,,490(-4),,55.0,202401010206,2024年07月21日,芝,2000,良
6,7,14,テンダーデイズ,牝3,55.0,武豊,2:00.9,1/2,**,**,**,**,**,10-10-10-8,35.1,5.0,3.0,474(-2),,,,474(-2),,,202401010206,2024年07月21日,芝,2000,良
7,6,12,ティラージュ,牝3,55.0,富田暁,2:01.0,3/4,**,**,**,**,**,7-8-6-6,35.5,107.5,14.0,464(-2),,,,464(-2),,,202401010206,2024年07月21日,芝,2000,良
8,2,4,ウインサマースノー,牡3,57.0,黛弘人,2:01.0,クビ,**,**,**,**,**,5-5-5-4,35.6,83.3,12.0,472(+2),,,,472(+2),,,202401010206,2024年07月21日,芝,2000,良
9,8,15,ヤルダバオト,牡3,57.0,丹内祐次,2:01.3,1.1/2,**,**,**,**,**,16-15-13-11,35.3,19.5,7.0,430(-2),,,,430(-2),,,202401010206,2024年07月21日,芝,2000,良
10,3,6,シーグリント,牝3,55.0,佐々木大,2:01.4,3/4,**,**,**,**,**,12-12-10-12,35.6,20.4,8.0,400(+4),,,,400(+4),,,202401010206,2024年07月21日,芝,2000,良
11,2,3,ベルベットハンマー,牝3,55.0,武藤雅,2:01.6,1.1/4,**,**,**,**,**,9-6-6-8,36.1,76.6,11.0,432(-6),,,,432(-6),,,202401010206,2024年07月21日,芝,2000,良
12,4,7,ジーティーポライト,牝3,52.0,川端海翼,2:01.9,2,**,**,**,**,**,15-15-13-13,35.9,7.4,4.0,460(+4),,,,460(+4),,,202401010206,2024年07月21日,芝,2000,良
13,5,10,ジーティーエイト,牡3,57.0,岩橋勇二,2:01.9,ハナ,**,**,**,**,**,14-14-16-13,35.6,85.7,13.0,506(+8),,,,506(+8),,,202401010206,2024年07月21日,芝,2000,良
14,1,2,タガノエイリアス,牡3,56.0,角田大河,2:02.5,3.1/2,**,**,**,**,**,7-9-10-13,36.7,26.8,9.0,464(-4),,,,464(-4),,,202401010206,2024年07月21日,芝,2000,良
15,7,13,ペッシュプラット,牝3,55.0,小林凌大,2:03.0,3,**,**,**,**,**,13-13-13-16,37.0,335.6,16.0,412(+2),,,,412(+2),,,202401010206,2024年07月21日,芝,2000,良
16,5,9,タマモジャケット,牡3,54.0,小林勝太,2:04.2,7,**,**,**,**,**,1-1-1-8,39.1,129.5,15.0,470(+8),,,,470(+8),,,202401010206,2024年07月21日,芝,2000,良
1,6,6,ノボリショウリュウ,牡3,52.0,川端海翼,0:59.3,,**,**,**,**,**,1-1,35.7,3.9,3.0,456(-2),,,,456(-2),,800.0,202401010207,2024年07月21日,ダ,1000,良
2,4,4,スノーホルンロード,セ5,55.0,小林勝太,0:59.4,クビ,**,**,**,**,**,5-5,35.2,3.2,2.0,508(-10),,,,508(-10),,320.0,202401010207,2024年07月21日,ダ,1000,良
3,8,9,スイッチオン,牡4,58.0,大野拓弥,1:00.2,5,**,**,**,**,**,9-9,35.4,9.6,5.0,490(+14),,,,490(+14),,200.0,202401010207,2024年07月21日,ダ,1000,良
4,5,5,アカザ,牝5,56.0,丹内祐次,1:00.2,クビ,**,**,**,**,**,2-2,36.2,3.0,1.0,430(-8),,,,430(-8),,120.0,202401010207,2024年07月21日,ダ,1000,良
5,3,3,アマモト,牡3,54.0,角田大河,1:00.6,2,**,**,**,**,**,8-7,36.0,124.2,9.0,470(-2),,,,470(-2),,80.0,202401010207,2024年07月21日,ダ,1000,良
6,7,7,サニイアール,牝3,50.0,長浜鴻緒,1:00.6,ハナ,**,**,**,**,**,5-6,36.4,6.4,4.0,442(-8),,,,442(-8),,,202401010207,2024年07月21日,ダ,1000,良
7,2,2,セイゲン,牡5,58.0,富田暁,1:00.6,クビ,**,**,**,**,**,2-2,36.7,32.5,7.0,480(-2),,,,480(-2),,,202401010207,2024年07月21日,ダ,1000,良
8,8,8,サンマルリアン,牝4,56.0,永野猛蔵,1:01.1,3,**,**,**,**,**,7-7,36.8,64.8,8.0,440(-2),,,,440(-2),,,202401010207,2024年07月21日,ダ,1000,良
9,1,1,ヒメカミノイタダキ,牡5,58.0,古川吉洋,1:01.2,1/2,**,**,**,**,**,2-2,37.3,20.5,6.0,502(-2),,,,502(-2),,,202401010207,2024年07月21日,ダ,1000,良
1,5,5,ナイトスラッガー,牡3,55.0,鮫島克駿,2:00.1,,**,**,**,**,**,7-7-2-2,35.0,4.0,2.0,518(-4),,,,518(-4),,800.0,202401010208,2024年07月21日,芝,2000,良
2,8,10,エルフストラック,牝3,53.0,横山和生,2:00.1,ハナ,**,**,**,**,**,1-1-1-1,35.1,2.1,1.0,484(+10),,,,484(+10),,320.0,202401010208,2024年07月21日,芝,2000,良
3,2,2,マイネルフランツ,牡3,55.0,丹内祐次,2:00.3,1,**,**,**,**,**,3-3-3-4,35.0,5.8,3.0,486(+16),,,,486(+16),,200.0,202401010208,2024年07月21日,芝,2000,良
4,7,8,サラトガチップス,牡3,55.0,横山武史,2:00.3,ハナ,**,**,**,**,**,2-2-3-2,35.0,7.2,4.0,432(-8),,,,432(-8),,120.0,202401010208,2024年07月21日,芝,2000,良
5,6,6,カエルム,牡3,55.0,藤岡佑介,2:00.3,ハナ,**,**,**,**,**,10-10-6-7,34.8,31.1,7.0,462(-8),,,,462(-8),,80.0,202401010208,2024年07月21日,芝,2000,良
6,8,9,フォトンブルー,セ4,58.0,佐々木大,2:00.4,1/2,**,**,**,**,**,4-5-6-6,34.9,11.8,6.0,506(+4),,,,506(+4),,,202401010208,2024年07月21日,芝,2000,良
7,3,3,ビヨンドザリミット,牝5,53.0,小林勝太,2:00.6,1.1/2,**,**,**,**,**,6-6-8-8,34.8,125.2,9.0,468(-4),,,,468(-4),,,202401010208,2024年07月21日,芝,2000,良
8,1,1,ポーレット,牝4,53.0,長浜鴻緒,2:00.9,1.1/2,**,**,**,**,**,8-8-10-10,34.9,56.4,8.0,478(0),,,,478(0),,,202401010208,2024年07月21日,芝,2000,良
9,4,4,トゥルーサクセサー,牡3,55.0,大野拓弥,2:01.1,1.1/4,**,**,**,**,**,4-3-3-4,35.8,11.3,5.0,466(-4),,,,466(-4),,,202401010208,2024年07月21日,芝,2000,良
10,7,7,フェスティヴビーム,牡4,58.0,永野猛蔵,2:01.2,1/2,**,**,**,**,**,8-8-8-8,35.4,125.3,10.0,460(-2),,,,460(-2),,,202401010208,2024年07月21日,芝,2000,良
1,3,3,ナムラローズマリー,牝3,53.0,武豊,1:08.8,,**,**,**,**,**,1-1,34.7,2.3,1.0,448(-6),,,,448(-6),,"1,575.9",202401010209,2024年07月21日,芝,1200,良
2,4,4,エリカカリーナ,牝3,53.0,横山武史,1:08.8,アタマ,**,**,**,**,**,2-2,34.5,3.7,3.0,424(-8),,,,424(-8),,627.4,202401010209,2024年07月21日,芝,1200,良
3,8,12,シカゴスティング,牝3,53.0,鮫島克駿,1:08.8,クビ,**,**,**,**,**,6-5,34.2,2.6,2.0,426(-2),,,,426(-2),,393.7,202401010209,2024年07月21日,芝,1200,良
4,1,1,ミズノコキュウ,牝5,56.0,丹内祐次,1:08.9,クビ,**,**,**,**,**,4-2,34.5,22.0,4.0,428(+6),,,,428(+6),,230.0,202401010209,2024年07月21日,芝,1200,良
5,2,2,ポルタフォルトゥナ,牝5,56.0,古川吉洋,1:09.1,1.1/4,**,**,**,**,**,2-2,34.9,60.5,7.0,474(-4),,,,474(-4),,155.0,202401010209,2024年07月21日,芝,1200,良
6,6,7,スクルプトーリス,牝4,56.0,亀田温心,1:09.2,クビ,**,**,**,**,**,6-5,34.6,138.0,11.0,472(+6),,,,472(+6),,,202401010209,2024年07月21日,芝,1200,良
6,6,8,メイショウハボタン,牝6,56.0,角田大河,1:09.2,同着,**,**,**,**,**,11-8,34.3,70.2,8.0,476(-6),,,,476(-6),,,202401010209,2024年07月21日,芝,1200,良
8,7,10,ジョリダム,牝4,56.0,富田暁,1:09.2,クビ,**,**,**,**,**,8-8,34.4,35.5,6.0,448(+2),,,,448(+2),,,202401010209,2024年07月21日,芝,1200,良
9,5,6,ショウナンアメリア,牝5,56.0,池添謙一,1:09.3,1/2,**,**,**,**,**,8-7,34.6,199.3,12.0,442(-16),,,,442(-16),,,202401010209,2024年07月21日,芝,1200,良
